"MARKA","TSB_MODEL","SIFIR_MODEL","KAYNAK","MASTER_MODEL_ADI"
"FORD","TRANSIT MCAI 440E 14+1 UPGRADE","","TSB",""
"FORD","TRANSIT MCAI 440E 16+1 ECOBLUE","","TSB",""
"FORD","TRANSIT MCAI 440E 16+1 UPGRADE","","TSB",""
"FORD","TRANSIT MCAI 440E 17+1 UPGRADE","","TSB",""
"FORD","TRANSIT MCAI 440E 19+1 ECOBLUE","","TSB",""
"FORD","TRANSIT MCAI 440E CAMLI VAN UPGRADE","","TSB",""
"FORD","TRANSIT MCAI 440E CAMLIVAN UPGRADE","","TSB",""
"FORD","TRANSIT MCAI 440E OKUL 16+1 ECOBLUE170 DELUXE","","TSB",""
"FORD","TRANSIT MCAI 440E OKUL 16+1UPGRADE165 DELUXE","","TSB",""
"FORD","TRANSIT MCAI 460ED 16+1 UPGRADE","","TSB",""
"FORD","TRANSIT MCAI 460ED 16+1 UPGRADE165","","TSB",""
"FORD","TRANSIT MCAI 460ED 17+1 ECOBLUE","","TSB",""
"FORD","TRANSIT MCAI 460ED 17+1 UPGRADE","","TSB",""
"FORD","TRANSIT MCAI 470ED VAN 15.1M3UPGRADE165","","TSB",""
"FORD","TRANSIT MCAI 500ED VAN","","TSB",""
"FORD","TRANSIT MCAI 500ED VAN 15.1M3 ECOBLU170","","TSB",""
"FORD","TRANSIT MCAI 500ELD KAMYON ECOBLUE","","TSB",""
"FORD","TRANSIT MINIBUS","","TSB",""
"FORD","TRANSIT MINIBUS 350MF 10+1","","TSB",""
"FORD","TRANSIT MINIBUS 440E 14+1","","TSB",""
"FORD","TRANSIT MINIBUS 440E 16+1","","TSB",""
"FORD","TRANSIT MINIBUS 440E 16+1 SEYAHAT","","TSB",""
"FORD","TRANSIT MINIBUS 440E 7+2+1","","TSB",""
"FORD","TRANSIT MINIBUS 460ED 16+1","","TSB",""
"FORD","TRANSIT MINIBUS 470ED 16+1 OKUL","","TSB",""
"FORD","TRANSIT OTOBUS","","TSB",""
"FORD","TRANSIT OTOBUS 440E 17+1","","TSB",""
"FORD","TRANSIT OTOBUS 440E 19+1","","TSB",""
"FORD","TRANSIT OTOBUS 460ED 17+1","","TSB",""
"FORD","TRANSIT TEK K.KAMYONET ECOBLUE","","TSB",""
"FORD","TRANSIT TEK K.KAMYONET ECOBLUE 350E","","TSB",""
"FORD","TRANSIT TEK K.KAMYONET ECOBLUE 350M","","TSB",""
"FORD","TRANSIT TEK KA.KAMYONET ECOBLUE","","TSB",""
"FORD","TRANSIT TEK KABIN KAMYONET ECOBLUE","","TSB",""
"FORD","TRANSIT VAN","","TSB",""
"FORD","TRANSIT VAN 350E","","TSB",""
"FORD","TRANSIT VAN 350E 15.1M3","","TSB",""
"FORD","TRANSIT VAN 350ED","","TSB",""
"FORD","TRANSIT VAN 350M","","TSB",""
"FORD","TRANSIT VAN 350M 9.5M3","","TSB",""
"FORD","TRANSIT VAN 350M 9.5M3 ECOBLUE","","TSB",""
"FORD","TRANSIT VAN 350M 9.5M3 UPGRADE","","TSB",""
"FORD","TRANSIT VAN 460ED","","TSB",""
"FORD","TRANSIT VAN 470ED","","TSB",""
"FORD","TRANSIT VAN T220S","","TSB",""
"FORD","TRANSIT350 ED KAMYONET (200)","","TSB",""
"FORD","TRANSIT350E VAN BEV 198KW DELUXE AT ELEKTRIK","","TSB",""
"FORD","TRANSITCIFTKABINKAMYONET ECOBLUE 470ELD","","TSB",""
"FORD","TRANSITCONNECTVANTRENDMCA KISA 1.5ECOBLUE","","TSB",""
"FORD","TRANSITCONNECTVANTRENDMCA UZUN 1.5ECOBLUE","","TSB",""
"FORD","TRANSITCOURIERCOMBI 1.0ECOBOOST","","TSB",""
"FORD","TRANSITCOURIERKOMBIVAN1.5TDCI","","TSB",""
"FORD","TRANSITCUSTOM","","TSB",""
"FORD","TRANSITCUSTOMKOMBI","","TSB",""
"FORD","TRANSITCUSTOMKOMBI 320S170 E6.2 OV DELUXE","","TSB",""
"FORD","TRANSITCUSTOMKOMBIVAN","","TSB",""
"FORD","TRANSITCUSTOMKOMBIVAN ECOBLUE","","TSB",""
"FORD","TRANSITCUSTOMKOMBIVAN320L","","TSB",""
"FORD","TRANSITCUSTOMKOMBIVANECOBLUE170","","TSB",""
"FORD","TRANSITCUSTOMVAN","","TSB",""
"FORD","TRANSITCUSTOMVAN ECOBLUE","","TSB",""
"FORD","TRANSITCUSTOMVAN ECOBLUE170","","TSB",""
"FORD","TRANSITCUSTOMVAN340L","","TSB",""
"FORD","TRANSITCUSTOMVAN340S","","TSB",""
"FORD","TRANSITK.NET","","TSB",""
"FORD","TRANSITKAMYONET","","TSB",""
"FORD","TRANSITKAMYONET 350LF UPGRADE170","","TSB",""
"FORD","TRANSITKAMYONET 350MF UPGRADE170","","TSB",""
"FORD","TRANSITKAMYONET CIFT K. 470ELD","","TSB",""
"FORD","TRANSITKAMYONET CIFT K.500 ELD","","TSB",""
"FORD","TRANSITKAMYONET350LECOBLUEUPGRADE170TREND10AT","","TSB",""
"FORD","TRANSITKAMYONETCIFTK.470ELD170TRENDKASALIE6.1","","TSB",""
"FORD","TRANSITMINIBUS","","TSB",""
"FORD","TRANSITMINIBUS 440E 16+1 OKUL","","TSB",""
"FORD","TRANSITMINIBUS410L 16+1UPGRADE170 DELUXE 10AT","","TSB",""
"FORD","TRANSITMINIBUS460ED16+1UPGRADE","","TSB",""
"FORD","TRANSITVAN 350E 15.1M3 ECOBLUE","","TSB",""
"FORD","TRANSITVAN 350E 15.1M3 UPGRADE170TREND 10AT","","TSB",""
"FORD","TRANSITVAN 350ED","","TSB",""
"FORD","TRANSITVAN 350ED 15.1M3 ECOBLUE170","","TSB",""
"FORD","TRANSITVAN 350LF","","TSB",""
"FORD","TRANSITVAN 350LF 11.5M3 ECOBLUE170","","TSB",""
"FORD","TRANSITVAN 350LF 13M3 ECOBLUE","","TSB",""
"FORD","TRANSITVAN 350M 9.5M3 ECOBLUE","","TSB",""
"FORD","TRANSITVAN 350MF 10M3 ECOBLUE","","TSB",""
"FORD","TRANSITVAN 470ED","","TSB",""
"FORD","TRANSITVAN350LF","","TSB",""
"FORD","TRANSITVAN350LF 13M3 ECOBLUE170","","TSB",""
"FORD","TRANSITVAN350MF 10M3 ECOBLUE170","","TSB",""
"FORD","","Yeni E-Transit Kamyonet","HER İKİSİ",""
"FORD","","Yeni E-Transit Van","HER İKİSİ",""
"FORD","","Yeni Journey Courier BEV","SIFIR",""
"FORD","","Yeni Transit Kamyonet","HER İKİSİ",""
"FORD","","Yeni Transit Minibüs","HER İKİSİ",""
"FORD","","Yeni Transit Van","HER İKİSİ",""
"FORD /USA","BRONCO","","TSB",""
"FORD /USA","BRONCO BADLANDS","","TSB",""
"FORD /USA","EDGE","","TSB",""
"FORD /USA","EDGE SELECT","","TSB",""
"FORD /USA","ESCAPE","","TSB",""
"FORD /USA","EXPEDITION LS","","TSB",""
"FORD /USA","EXPLORER","","TSB",""
"FORD /USA","F","","TSB",""
"FORD /USA","F150","","TSB",""
"FORD /USA","F150 RAPTOR","","TSB",""
"FORD /USA","F350","","TSB",""
"FORD /USA","F450 SUPERCREW","","TSB",""
"FORD /USA","FLEX","","TSB",""
"FORD /USA","GT","","TSB",""
"FORD /USA","MUSTANG","","TSB",""
"FORD /USA","MUSTANG CONVERTIBLE","","TSB",""
"FORD /USA","MUSTANG FASTBACK","","TSB",""
"FORD /USA","MUSTANG MACH-E","","TSB",""
"FORD /USA","MUSTANG MACH-E EXTENDED RANGE","","TSB",""
"FORD /USA","MUSTANG MACH-E EXTENDED RANGE RDW 216KW","","TSB",""
"FORD /USA","MUSTANG MACH-E STANDART RANGE","","TSB",""
"FORD /USA","MUSTANG MCA FASTBACK","","TSB",""
"FORTHING","M4 U-TOUR","","TSB",""
"FORTHING","T5 EVO","","TSB",""
"FOTON","E-ATLAS","","TSB",""
"FOTON","TUNLAND G7 ELITE","","TSB",""
"FOTON","TUNLAND G7 FLAGSHIP","","TSB",""
"FOTON","TUNLAND G7 FLAGSHIP 4x2 AT","","TSB",""
"FOTON","TUNLAND G7 FLAGSHIP+","","TSB",""
"FOTON","TUNLAND G7 P3 (N1)","","TSB",""
"FOTON","TUNLAND V9","","TSB",""
"FOTON","TUNLAND V9 ULTRA 4x2 AT","","TSB",""
"GAZ","GAZELLE","","TSB",""
"GAZ","GAZELLE NEXT","","TSB",""
"GAZ","GAZELLE NEXT CIFT KABIN KAMYONET A22R22-00","","TSB",""
"GAZ","GAZELLE NEXT CIFT KABIN KAMYONET A22R32-00","","TSB",""
"GAZ","GAZELLE NEXT CIFTKABIN K.NET KASALI A22R22-90","","TSB",""
"GAZ","GAZELLE NEXT CIFTKABIN K.NET KASALI A22R32-90","","TSB",""
"GAZ","GAZELLE NEXT PANELVAN","","TSB",""
"GAZ","GAZELLE NEXT TEK KABIN K.NET KASALI A21R22-90","","TSB",""
"GAZ","GAZELLE NEXT TEK KABIN K.NET KASALI A21R22-91","","TSB",""
"GAZ","GAZELLE NEXT TEK KABIN K.NET KASALI A21R32-90","","TSB",""
"GAZ","GAZELLE NEXT TEK KABIN K.NET KASALI A21R32-91","","TSB",""
"GAZ","GAZELLE NEXT TEK KABIN KAMYONET A21R22-00","","TSB",""
"GAZ","GAZELLE NEXT TEK KABIN KAMYONET A21R32-00","","TSB",""
"GAZ","GAZELLE NN","","TSB",""
"GEELY","EMGRAND EC7","","TSB",""
"GEELY","FC","","TSB",""
"GMC","ACADIA","","TSB",""
"GMC","CANYON","","TSB",""
"GMC","CANYON DENALI","","TSB",""
"GMC","HUMMER EV","","TSB",""
"GMC","SAVANA","","TSB",""
"GMC","SIERRA","","TSB",""
"GMC","SIERRA AT4","","TSB",""
"GMC","SIERRA DENALI","","TSB",""
"GMC","TERRAIN","","TSB",""
"GMC","YUKON DENALI","","TSB",""
"GMC","YUKON DENALI XL","","TSB",""
"GMC","YUKON SLT","","TSB",""
"GMC","YUKON XL DENALI","","TSB",""
"GROVE","KAMYON (SEYYAR VINC) GMK203SE","","TSB",""
"GULERYUZ","COBRA DOUBLE DECKER","","TSB",""
"GULERYUZ","COBRA DOUBLE DECKER EURO5","","TSB",""
"GULERYUZ","COBRA DOUBLE DECKER OTOBUS E6","","TSB",""
"GULERYUZ","COBRA GD","","TSB",""
"GULERYUZ","COBRA GD272 LF OTOBUS E6","","TSB",""
"GULERYUZ","COBRA GL","","TSB",""
"GULERYUZ","COBRA GM","","TSB",""
"HABAS","CEKICI HBS STEELPOWER 4X2 N3","","TSB",""
"HABAS","CEKICI HBS STEELPOWER N3 4X2","","TSB",""
"HABAS","CEKICI STEEL POWER N3","","TSB",""
"HABAS","CEKICI STEELPOWER-E","","TSB",""
"HABAS","KAMYON HBS STEELPOWER 8X2 N3","","TSB",""
"HABAS","KAMYON HBS STEELPOWER 8X4 N3","","TSB",""
"HABAS","KAMYON STEELPOWER 8X2 N3","","TSB",""
"HABAS","OTOBUS ALFACITY M3","","TSB",""
"HABAS","OTOBUS ALFALUX M3","","TSB",""
"HABAS","OTOBUS HBS COMFORTCITY M3","","TSB",""
"HABAS","OTOBUS HBS COMFORTCITY-E M3","","TSB",""
"HAIMA","7","","TSB",""
"HBS","CEKICI STEELPOWER 4X2","","TSB",""
"HBS","CEKICI STEELPOWER-E 4X2","","TSB",""
"HBS","KAMYON STEELPOWER 8X2","","TSB",""
"HBS","OTOBUS ALFACITY","","TSB",""
"HBS","OTOBUS ALFALUX-E","","TSB",""
"HBS","OTOBUS COMFORTCITY","","TSB",""
"HBS","OTOBUS COMFORTCITY-E","","TSB",""
"HISCAR","BUFFALO","","TSB",""
"HISCAR","BUFFALO 2.3SFT TURKAN BUKAN SX4","","TSB",""
"HISCAR","BUFFALO 2.3SFT TURKAR BUKAN SX4","","TSB",""
"HISCAR","BUFFALO 2.3SFT TURKARBUKAN SX4","","TSB",""
"HOBBY","HOBBY OPTIMA T5 HGE DELUXE","","TSB",""
"HONDA","ACCORD","","TSB",""
"HONDA","CITY","","TSB",""
"HONDA","CIVIC","","TSB",""
"HONDA","CIVIC HATCBACK","","TSB",""
"HONDA","CIVIC TYPE-R","","TSB",""
"HONDA","CR-V","","TSB",""
"HONDA","","CR-V e:HEV","SIFIR",""
"HONDA","CR-Z","","TSB",""
"HONDA","ELYSION","","TSB",""
"HONDA","HONDA E","","TSB",""
"HONDA","HR-V","","TSB",""
"HONDA","","HR-V e:HEV","HER İKİSİ",""
"HONDA","JAZZ","","TSB",""
"HONDA","","Jazz Crosstar","SIFIR",""
"HONDA","NSX V6 TWINTURBO","","TSB",""
"HONDA","PRELUDE","Prelude","HER İKİSİ",""
"HONDA","TYPE-R","","TSB",""
"HONDA","ZR-V","","TSB",""
"HONDA","","ZR-V e:HEV","SIFIR",""
"HONGQI","E-HS9","","TSB",""
"HONGQI","H9","","TSB",""
"HOTOMOBIL","CRAFTER REVIVA","","TSB",""
"HOTOMOBIL","CRAFTER REVIVA BASIC","","TSB",""
"HOTOMOBIL","CRAFTER REVIVA BASIC OTOMATIK","","TSB",""
"HOTOMOBIL","DUCATO REVIVA","","TSB",""
"HOTOMOBIL","DUCATO REVIVA BASIC","","TSB",""
"HOTOMOBIL","DUCATO REVIVA BASIC OTOMATIK","","TSB",""
"HOTOMOBIL","RONIN XL","","TSB",""
"HOTOMOBIL","RONIN XL DELUXE MOTOKARAVAN","","TSB",""
"HOTOMOBIL","RONIN XL ECO MOTOKARAVAN","","TSB",""
"HYMER","B","","TSB",""
"HYMER","MLT-T","","TSB",""
"HYUNDAI","ACCENT BLUE","","TSB",""
"HYUNDAI","ACCENT ERA","","TSB",""
"HYUNDAI","BAYON","","TSB",""
"HYUNDAI","BAYON FL","","TSB",""
"HYUNDAI","CRETA","","TSB",""
"HYUNDAI","ELANTRA","","TSB",""
"HYUNDAI","ELANTRA FL","","TSB",""
"HYUNDAI","EQUUS","","TSB",""
"HYUNDAI","GENESIS","","TSB",""
"HYUNDAI","GENESIS G80","","TSB",""
"HYUNDAI","GETZ","","TSB",""
"HYUNDAI","GRANDEUR","","TSB",""
"HYUNDAI","H-1","","TSB",""
"HYUNDAI","H-100 KAMYONET CIFT KABIN TCI KASALI E4","","TSB",""
"HYUNDAI","H-100 KAMYONET TCI KASALI (EURO4)","","TSB",""
"HYUNDAI","H100","","TSB",""
"HYUNDAI","H100 CIFT KABIN KAMYONET","","TSB",""
"HYUNDAI","H100 KAMYONET","","TSB",""
"HYUNDAI","H350 KAMYONET","","TSB",""
"HYUNDAI","H350 MINIBUS 13+1","","TSB",""
"HYUNDAI","H350 MINIBUS 14+1","","TSB",""
"HYUNDAI","H350 MINIBUS 15+1","","TSB",""
"HYUNDAI","H350 MINIBUS 16+1","","TSB",""
"HYUNDAI","H350 PANELVAN","","TSB",""
"HYUNDAI","HD","","TSB",""
"HYUNDAI","HD75 E5 F140 KAMYON","","TSB",""
"HYUNDAI","HD75 E5 F160 KAMYON","","TSB",""
"HYUNDAI","i10","","TSB",""
"HYUNDAI","i10 FL","","TSB",""
"HYUNDAI","i20","","TSB",""
"HYUNDAI","","İ20","HER İKİSİ",""
"HYUNDAI","i20 FL","","TSB",""
"HYUNDAI","i20 N","","TSB",""
"HYUNDAI","i20 TROY","","TSB",""
"HYUNDAI","i30","i30","HER İKİSİ",""
"HYUNDAI","i30 CW","","TSB",""
"HYUNDAI","i30 ELITE","","TSB",""
"HYUNDAI","i30 ELITE SMART","","TSB",""
"HYUNDAI","i40","","TSB",""
"HYUNDAI","INSTER","Inster","HER İKİSİ",""
"HYUNDAI","IONIQ","","TSB",""
"HYUNDAI","","IONIQ 5","HER İKİSİ",""
"HYUNDAI","","IONIQ 5N","SIFIR",""
"HYUNDAI","","IONIQ 6","SIFIR",""
"HYUNDAI","","IONIQ 9","HER İKİSİ",""
"HYUNDAI","IONIQ HEV HYBRID","","TSB",""
"HYUNDAI","IONIQ HYBRID","","TSB",""
"HYUNDAI","ix20","","TSB",""
"HYUNDAI","ix35","","TSB",""
"HYUNDAI","ix55","","TSB",""
"HYUNDAI","KONA","Kona","HER İKİSİ",""
"HYUNDAI","KONA ELECTRIC","Kona Electric","HER İKİSİ",""
"HYUNDAI","KONA ELEKTRIK","","TSB",""
"HYUNDAI","KONA ELEKTRIK PROGRESSIVE","","TSB",""
"HYUNDAI","KONA ELITE","","TSB",""
"HYUNDAI","KONA FL","","TSB",""
"HYUNDAI","KONA FL 1.6T-GDI N LINE DCT","","TSB",""
"HYUNDAI","KONA FL 1.6T-GDI SMART DCT","","TSB",""
"HYUNDAI","KONA HEV","","TSB",""
"HYUNDAI","KONA N-LINE","","TSB",""
"HYUNDAI","KONA PRIME","","TSB",""
"HYUNDAI","MATRIX","","TSB",""
"HYUNDAI","MATRIX SPACE","","TSB",""
"HYUNDAI","SANTA FE","","TSB",""
"HYUNDAI","","Santa Fe Hibrit","SIFIR",""
"HYUNDAI","SONATA","","TSB",""
"HYUNDAI","STARIA ELITE","","TSB",""
"HYUNDAI","STARIA ELITE HEV","","TSB",""
"HYUNDAI","","Staria Hibrit","SIFIR",""
"HYUNDAI","STARIA PRIME (8+1)","","TSB",""
"HYUNDAI","TUCSON","Tucson","HER İKİSİ",""
"HYUNDAI","TUCSON FL","","TSB",""
"HYUNDAI","","Tucson Hibrit","SIFIR",""
"HYUNDAI","","Yeni Bayon","HER İKİSİ",""
"IKCO","DENA","","TSB",""
"IKCO","SAMAND","","TSB",""
"IKCO","SOREN","","TSB",""
"INFINITI","EX","","TSB",""
"INFINITI","FX","","TSB",""
"INFINITI","G","","TSB",""
"INFINITI","G37","","TSB",""
"INFINITI","GS","","TSB",""
"INFINITI","M","","TSB",""
"INFINITI","M30d","","TSB",""
"INFINITI","Q30","","TSB",""
"INFINITI","Q50","","TSB",""
"INFINITI","Q60","","TSB",""
"INFINITI","QX70","","TSB",""
"INFINITI","QX80","","TSB",""
"IRIZAR","OTOBUS i6","","TSB",""
"ISOBUS","OTOBUS","","TSB",""
"ISUZU","D-MAX CIFT KABIN K.NET","","TSB",""
"ISUZU","D-MAX CIFT KABIN K.NET 4x2","","TSB",""
"ISUZU","D-MAX CIFT KABIN KAMYONET","","TSB",""
"ISUZU","D-MAX CIFT KABIN KAMYONET 4x2","","TSB",""
"ISUZU","D-MAX CIFT KABIN KAMYONET T 6MT","","TSB",""
"ISUZU","D-MAX CIFTKABIN KAMYONET","","TSB",""
"ISUZU","D-MAX TEK KABIN KAMYONET","","TSB",""
"ISUZU","D-MAX TEK KABIN KAMYONET 4x2 6M/T","","TSB",""
"ISUZU","D-MAX TEK KABIN KAMYONET1.9 4x2 V-WORK 6M/T","","TSB",""
"ISUZU","FSR TORA KAMYON","","TSB",""
"ISUZU","FSR TORA LONG KAMYON","","TSB",""
"ISUZU","N-WIDE KAMYONET","","TSB",""
"ISUZU","N-WIDE LONG KAMYONET","","TSB",""
"ISUZU","NLR KAMYONET","","TSB",""
"ISUZU","NLR LONG KAMYONET","","TSB",""
"ISUZU","NNR KAMYONET","","TSB",""
"ISUZU","NNR LONG KAMYONET","","TSB",""
"ISUZU","NOVO LUX OTOBUS","","TSB",""
"ISUZU","NOVO OTOBUS","","TSB",""
"ISUZU","NOVO ULTRA OTOBUS","","TSB",""
"ISUZU","NOVOCITI OTOBUS","","TSB",""
"ISUZU","NOVOCITI ULTRA OTOBUS","","TSB",""
"ISUZU","NPR","","TSB",""
"ISUZU","NPR HP KAMYON","","TSB",""
"ISUZU","NPR KAMYON","","TSB",""
"ISUZU","NPR KAMYON E6D","","TSB",""
"ISUZU","NPR KAMYON E6E","","TSB",""
"ISUZU","NPR LONG KAMYON","","TSB",""
"ISUZU","NPR LONG KAMYON ADR E6E","","TSB",""
"ISUZU","NPR LONG KAMYON E6D","","TSB",""
"ISUZU","NPR LONG KAMYON E6E","","TSB",""
"ISUZU","OTOBUS CITIBUS","","TSB",""
"ISUZU","OTOBUS CITIBUS A/T E6E","","TSB",""
"ISUZU","OTOBUS CITIBUS OV","","TSB",""
"ISUZU","OTOBUS CITIMARK","","TSB",""
"ISUZU","OTOBUS CITIPORT","","TSB",""
"ISUZU","OTOBUS CITIPORT 18M","","TSB",""
"ISUZU","OTOBUS CITIPORT 18M CNG E6E","","TSB",""
"ISUZU","OTOBUS CITIPORT 18M E6E","","TSB",""
"ISUZU","OTOBUS CITIPORT C","","TSB",""
"ISUZU","OTOBUS CITIVOLT B120","","TSB",""
"ISUZU","OTOBUS GRAND TORO AT (35+1+1)","","TSB",""
"ISUZU","OTOBUS GRAND TORO AT (37+1)","","TSB",""
"ISUZU","OTOBUS GRAND TORO MT (35+1+1)","","TSB",""
"ISUZU","OTOBUS GRAND TORO MT (37+1)","","TSB",""
"ISUZU","OTOBUS GRAND TORO XL (39+1)","","TSB",""
"ISUZU","OTOBUS GRAND TORO XL (41+1)","","TSB",""
"ISUZU","OTOBUS INTERLINER","","TSB",""
"ISUZU","OTOBUS KENDO","","TSB",""
"ISUZU","OTOBUS NOVO","","TSB",""
"ISUZU","OTOBUS NOVO (25+1)","","TSB",""
"ISUZU","OTOBUS NOVO 25+1 E6E","","TSB",""
"ISUZU","OTOBUS NOVO 27+1","","TSB",""
"ISUZU","OTOBUS NOVO 27+1 E6E","","TSB",""
"ISUZU","OTOBUS NOVO 29+1","","TSB",""
"ISUZU","OTOBUS NOVO 29+1 E6E","","TSB",""
"ISUZU","OTOBUS NOVO CITI","","TSB",""
"ISUZU","OTOBUS NOVO CITI 25+16+1 E6E","","TSB",""
"ISUZU","OTOBUS NOVO LUX","","TSB",""
"ISUZU","OTOBUS NOVO LUX (25+1)","","TSB",""
"ISUZU","OTOBUS NOVO LUX 25+1 E6E","","TSB",""
"ISUZU","OTOBUS NOVO LUX 27+1+1","","TSB",""
"ISUZU","OTOBUS NOVO LUX 27+1+1 E6E","","TSB",""
"ISUZU","OTOBUS NOVO LUX 27+1+1 LIFTLI","","TSB",""
"ISUZU","OTOBUS NOVO LUX 27+1+1 LIFTLI E6E","","TSB",""
"ISUZU","OTOBUS NOVO LUX 29+1","","TSB",""
"ISUZU","OTOBUS NOVO LUX 29+1 E6E","","TSB",""
"ISUZU","OTOBUS NOVO LUX 29+1+1","","TSB",""
"ISUZU","OTOBUS NOVO LUX 29+1+1 LIFTLI","","TSB",""
"ISUZU","OTOBUS NOVO LUX 29+1+1 LIFTLI E6E","","TSB",""
"ISUZU","OTOBUS NOVO LUXHP","","TSB",""
"ISUZU","OTOBUS NOVOCITI","","TSB",""
"ISUZU","OTOBUS NOVOCITI (25+16+1)","","TSB",""
"ISUZU","OTOBUS NOVOCITI 25+1","","TSB",""
"ISUZU","OTOBUS TURKUAZ (175)","","TSB",""
"ISUZU","OTOBUS TURKUAZ 27+1+1","","TSB",""
"ISUZU","OTOBUS TURKUAZ 27+1+1 E6E","","TSB",""
"ISUZU","OTOBUS TURKUAZ 29+1+1","","TSB",""
"ISUZU","OTOBUS TURKUAZ 29+1+1 E6E","","TSB",""
"ISUZU","OTOBUS TURKUAZ 31+1+1","","TSB",""
"ISUZU","OTOBUS TURKUAZ 31+1+1 E6E","","TSB",""
"ISUZU","OTOBUS VISIGO","","TSB",""
"ISUZU","OTOBUS VISIGO (35+1) E6","","TSB",""
"ISUZU","OTOBUS VISIGO (37+1) E6","","TSB",""
"ISUZU","OTOBUS VISIGO (39+1) E6","","TSB",""
"ISUZU","OTOBUS VISIGO 35+1+1","","TSB",""
"ISUZU","OTOBUS VISIGO 35+1+1 E6E","","TSB",""
"ISUZU","OTOBUS VISIGO 37+1+1","","TSB",""
"ISUZU","OTOBUS VISIGO 37+1+1 E6E","","TSB",""
"ISUZU","OTOBUS VISIGO 39+1+1","","TSB",""
"ISUZU","OTOBUS VISIGO 39+1+1 E6E","","TSB",""
"ISUZU","OTOBUS VISIGO INTERURBAN E6","","TSB",""
"ISUZU","OTOBUS VISIGO INTERURBAN LIFTLI E6","","TSB",""
"ISUZU","VISIGO INTERURBAN E6E","","TSB",""
"ISUZU","VISIGO INTERURBAN LIFTLI E6E","","TSB",""
"JAC","KAMYONET HFC 1035K","","TSB",""
"JAECOO","JAECOO","","TSB",""
"JAGUAR","E-PACE","","TSB",""
"JAGUAR","E-PACE R-DYNAMIC","","TSB",""
"JAGUAR","E-PACE R-DYNAMIC HSE","","TSB",""
"JAGUAR","E-PACE R-DYNAMIC SE","","TSB",""
"JAGUAR","E-PACE SE","","TSB",""
"JAGUAR","F TYPE","","TSB",""
"JAGUAR","F-PACE","","TSB",""
"JAGUAR","F-TYPE","","TSB",""
"JAGUAR","F-TYPE CONVERTIBLE","","TSB",""
"JAGUAR","F-TYPE CONVERTIBLE 2.0i4","","TSB",""
"JAGUAR","F-TYPE CONVERTIBLE R-DYNAMIC","","TSB",""
"JAGUAR","F-TYPE CONVERTIBLE R-DYNAMIC 2.0i4","","TSB",""
"JAGUAR","F-TYPE CONVERTIBLE R-DYNAMIC BLACK","","TSB",""
"JAGUAR","I-PACE","","TSB",""
"JAGUAR","I-PACE FIRST","","TSB",""
"JAGUAR","I-PACE HSE EV400","","TSB",""
"JAGUAR","I-PACE R-DYNAMIC HSE","","TSB",""
"JAGUAR","I-PACE R-DYNAMIC SE","","TSB",""
"JAGUAR","I-PACE SE EV400","","TSB",""
"JAGUAR","XE","","TSB",""
"JAGUAR","XE PORTFOLIO","","TSB",""
"JAGUAR","XE PURE","","TSB",""
"JAGUAR","XE R-DYNAMIC","","TSB",""
"JAGUAR","XE R-DYNAMIC HSE","","TSB",""
"JAGUAR","XE R-DYNAMIC SE","","TSB",""
"JAGUAR","XE R-DYNAMIC SE 2.0D180","","TSB",""
"JAGUAR","XE R-SPORT","","TSB",""
"JAGUAR","XF","","TSB",""
"JAGUAR","XF PORTFOLIO","","TSB",""
"JAGUAR","XF PURE","","TSB",""
"JAGUAR","XF R-DYNAMIC HSE","","TSB",""
"JAGUAR","XF R-DYNAMIC SE","","TSB",""
"JAGUAR","XF R-SPORT","","TSB",""
"JAGUAR","XJ","","TSB",""
"JAGUAR","XJ LWB","","TSB",""
"JAGUAR","XJ LWB PORTFOLIO","","TSB",""
"JAGUAR","XJ LWB PREMIUMLUXURYSPORTPLUS","","TSB",""
"JAGUAR","XJ SWB","","TSB",""
"JAGUAR","XJ SWB LUXURY","","TSB",""
"JAGUAR","XJ SWB LUXURY 2.0i4","","TSB",""
"JAGUAR","XK8","","TSB",""
"JAGUAR","XKR","","TSB",""
"KAMAZ","KAMYON","","TSB",""
"KAMAZ","KAMYON 63501-40","","TSB",""
"KARSAN","ATAK E6 OTOBUS AT","","TSB",""
"KARSAN","ATAK E6 OTOBUS MT","","TSB",""
"KARSAN","ATAK OTOBUS","","TSB",""
"KARSAN","ATAK OTOBUS AT","","TSB",""
"KARSAN","ATAK OTOBUS EV","","TSB",""
"KARSAN","ATAK OTOBUS EV CLASS II","","TSB",""
"KARSAN","eATA","","TSB",""
"KARSAN","J10 12+1+1 UZUN HAT MINIBUS","","TSB",""
"KARSAN","J10 13+1 MINIBUS","","TSB",""
"KARSAN","J10 14+1 LONG MINIBUS","","TSB",""
"KARSAN","J10 14+1 MINIBUS","","TSB",""
"KARSAN","J10 14+1 UZUN HAT MINIBUS","","TSB",""
"KARSAN","J10 16+1 LONG MINIBUS","","TSB",""
"KARSAN","J10 17+1 LONG OTOBUS","","TSB",""
"KARSAN","J10 17+1 OKUL OTOBUSU","","TSB",""
"KARSAN","J10 17+1 OTOBUS","","TSB",""
"KARSAN","J10 20+1 OKUL OTOBUSU","","TSB",""
"KARSAN","J10 20+1 OTOBUS","","TSB",""
"KARSAN","JEST 11+1+1 CLASS B HAT ARACI BARAMPA MINIBUS","","TSB",""
"KARSAN","JEST 11+1+1 CLASS B HAT ARACI MINIBUS","","TSB",""
